Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Pool Maralto #1;Pool;26/10/2026;485.0;R$ 87.410,43;R$ 90.904,52;R$ 0,00;R$ 0,00;R$ 107,70;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;;27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
Rhino Pool #1;Pool;26/10/2026;485.0;R$ 0,00;;;R$ 0,00;;R$ 2.700,00;;R$ 0,00;;20,0%;;0,0%;;;26/10/2026;Rhino Holding & Participacoes S.A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Cancelada
C4 Pool #1;Pool;27/10/2026;486.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;40,0%;;0,0%;;;23/07/2025;C4 CAPITAL SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Produto Encerrado
DS Pool #2;Pool;11/11/2026;501.0;R$ 1.452.152,91;R$ 1.575.635,32;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,30;R$ 0,00;-8,5%;20,0%;141,1%;596.866,3%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;DS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;545.0;R$ 69.050,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.866,67;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;;25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
E-ctare Pool #1;Pool;28/02/2027;610.0;R$ 11.061.213,82;R$ 8.690.193,27;R$ 2.371.020,55;R$ 6.867.723,60;R$ 4.335.758,79;R$ 25.000,00;R$ 0,92;R$ 0,00;21,4%;20,0%;7,4%;167.268,6%;1,8%;Percentual mínimo de garantias;28/06/2025;ECTARE PAY SERVICOS DE GESTAO DE PAGAMENTOS S/A,;;Oferta Privada;CPR / Duplicata;Captação finalizada
Credmei Pool #1;Pool;15/03/2027;625.0;R$ 22.258.230,99;R$ 17.972.934,50;R$ 4.285.296,49;R$ 19.153.287,30;R$ 0,00;R$ 0,00;R$ 1,10;R$ 0,00;19,3%;10,0%;3,2%;501.903,8%;3,0%;;13/04/2026;CREDMEI SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
Pool Nexo #1;Pool;26/03/2027;636.0;R$ 142.944,63;R$ 75.899,15;R$ 67.045,49;R$ 0,00;R$ 1.142,14;R$ 0,00;R$ 0,00;R$ 0,00;;5,0%;;0,0%;;;26/03/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
a55 Cartão Pool #1;Pool;01/04/2027;642.0;R$ 12.510.218,39;R$ 0,00;R$ 12.510.218,39;R$ 12.506.046,17;R$ 4.078,92;R$ 0,00;;R$ 0,00;100,0%;1,0%;5,1%;0,0%;1,6%;;;A55 PAYMENTS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
Chronos Pool #1;Pool;14/06/2027;716.0;R$ 1.370.378,10;R$ 1.001.677,70;R$ 368.700,40;R$ 370.378,10;R$ 975.000,00;R$ 25.000,00;R$ 0,40;R$ 0,00;26,9%;25,0%;;0,0%;9,2%;Concentração máx por cedente em percentual;13/01/2027;CHRONOS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Em captação
